,date,open,high,low,close,volume
2390,2021-09-06,17399.35,17429.55,17345.55,17377.80,228045536
2391,2021-09-07,17401.55,17436.50,17287.00,17362.10,243417808
2392,2021-09-08,17375.75,17383.40,17254.20,17353.50,252652416
2393,2021-09-09,17312.85,17379.65,17302.70,17369.25,241509344
2394,2021-09-13,17363.55,17378.35,17269.15,17355.30,241053920
2395,2021-09-14,17420.35,17438.55,17367.05,17380.00,230354384
2396,2021-09-15,17387.65,17532.70,17386.90,17519.45,388191616
2397,2021-09-16,17539.20,17644.60,17510.45,17629.50,503310784
2398,2021-09-17,17709.65,17792.95,17537.65,17585.15,508285920
2399,2021-09-20,17443.85,17622.75,17361.80,17396.90,339102048
2400,2021-09-21,17450.50,17578.35,17326.10,17562.00,363578496
2401,2021-09-22,17580.90,17610.45,17524.00,17546.65,295191136
2402,2021-09-23,17670.85,17843.90,17646.55,17822.95,320514496
2403,2021-09-24,17897.45,17947.65,17819.40,17853.20,360130848
2404,2021-09-27,17932.20,17943.50,17802.90,17855.10,295714656
2405,2021-09-28,17906.45,17912.85,17576.10,17748.60,397997280
2406,2021-09-29,17657.95,17781.75,17608.15,17711.30,562237760
2407,2021-09-30,17718.90,17742.15,17585.35,17618.15,378592736
2408,2021-10-01,17531.90,17557.15,17452.90,17532.05,305763904
2409,2021-10-04,17615.55,17750.90,17581.35,17691.25,295761824
2410,2021-10-05,17661.35,17833.45,17640.90,17822.30,427000192
2411,2021-10-06,17861.50,17884.60,17613.15,17646.00,395833536
2412,2021-10-07,17810.55,17857.55,17763.80,17790.35,419890944
2413,2021-10-08,17886.85,17941.85,17840.35,17895.20,324066336
2414,2021-10-11,17867.55,18041.95,17839.10,17945.95,375756448
2415,2021-10-12,17915.80,18008.65,17864.95,17991.95,355568320
2416,2021-10-13,18097.85,18197.80,18050.75,18161.75,506679744
2417,2021-10-14,18272.85,18350.75,18248.70,18338.55,538714432
2418,2021-10-18,18500.10,18543.15,18445.30,18477.05,469883520
2419,2021-10-19,18602.35,18604.45,18377.70,18418.75,368230304
2420,2021-10-20,18439.90,18458.30,18209.35,18266.60,371276480
2421,2021-10-21,18382.70,18384.20,18048.00,18178.10,365902016
2422,2021-10-22,18230.70,18314.25,18034.35,18114.90,324748096
2423,2021-10-25,18229.50,18241.40,17968.50,18125.40,418703648
2424,2021-10-26,18154.50,18310.45,18099.30,18268.40,341377888
2425,2021-10-27,18295.85,18342.05,18167.90,18210.95,335248480
2426,2021-10-28,18187.65,18190.70,17799.45,17857.25,374205760
2427,2021-10-29,17833.05,17915.85,17613.10,17671.65,336466880
2428,2021-11-01,17783.15,17954.10,17697.10,17929.65,281190144
2429,2021-11-02,17970.90,18012.25,17847.60,17888.95,296442016
2430,2021-11-03,17947.95,17988.75,17757.95,17829.20,330996000
2431,2021-11-04,17935.05,17947.55,17900.60,17916.80,48515008
2432,2021-11-08,18040.20,18087.80,17836.10,18068.55,338919488
2433,2021-11-09,18084.35,18112.60,17983.05,18044.25,270197536
2434,2021-11-10,17973.45,18061.25,17915.00,18017.20,261446512
2435,2021-11-11,17967.45,17971.35,17798.20,17873.60,232121152
2436,2021-11-12,17977.60,18123.00,17905.90,18102.75,249111904
2437,2021-11-15,18140.95,18210.15,18071.30,18109.45,280428640
2438,2021-11-16,18127.05,18132.65,17958.80,17999.20,267431824
2439,2021-11-17,17939.35,18022.65,17879.25,17898.65,295715936
2440,2021-11-18,17890.55,17945.60,17688.50,17764.80,278425152
2441,2021-11-22,17796.25,17805.25,17280.45,17416.55,356400416
2442,2021-11-23,17281.75,17553.70,17216.10,17503.35,308843264
2443,2021-11-24,17550.05,17600.60,17354.00,17415.05,298052160
2444,2021-11-25,17417.30,17564.35,17351.70,17536.25,255947024
2445,2021-11-26,17338.75,17355.40,16985.70,17026.45,356330016
2446,2021-11-29,17055.80,17160.70,16782.40,17053.95,348888768
2447,2021-11-30,17051.15,17324.65,16931.40,16983.20,497999840
2448,2021-12-01,17104.40,17213.05,17064.25,17166.90,295542144
2449,2021-12-02,17183.20,17420.35,17149.30,17401.65,279867488
2450,2021-12-03,17424.90,17489.80,17180.80,17196.70,292526496
2451,2021-12-06,17209.05,17216.75,16891.70,16912.25,231716688
2452,2021-12-07,17044.10,17251.65,16987.75,17176.70,254144224
2453,2021-12-08,17315.25,17484.60,17308.95,17469.75,257791952
2454,2021-12-09,17524.40,17543.25,17379.60,17516.85,237170272
2455,2021-12-10,17476.05,17534.35,17405.25,17511.30,204467488
2456,2021-12-13,17619.10,17639.50,17355.95,17368.25,256560528
2457,2021-12-14,17283.20,17376.20,17225.80,17324.90,270965600
2458,2021-12-15,17323.65,17351.20,17192.20,17221.40,214972096
2459,2021-12-16,17373.00,17379.35,17184.95,17248.40,219496064
2460,2021-12-17,17276.00,17298.15,16966.45,16985.20,354591360
2461,2021-12-20,16824.25,16840.10,16410.20,16614.20,330614080
2462,2021-12-21,16773.15,16936.40,16688.25,16770.85,241030848
2463,2021-12-22,16865.55,16971.00,16819.50,16955.45,207946112
2464,2021-12-23,17066.80,17118.65,17015.55,17072.60,196965296
2465,2021-12-24,17149.50,17155.60,16909.60,17003.75,182564832
2466,2021-12-27,16937.75,17112.05,16833.20,17086.25,144777456
2467,2021-12-28,17177.60,17250.25,17161.15,17233.25,176026112
2468,2021-12-29,17220.10,17285.95,17176.65,17213.60,161679424
2469,2021-12-30,17201.45,17264.05,17146.35,17203.95,320831680
2470,2021-12-31,17244.50,17400.80,17238.50,17354.05,167025728
2471,2022-01-03,17387.15,17646.65,17383.30,17625.70,200456432
2472,2022-01-04,17681.40,17827.60,17593.55,17805.25,247437472
2473,2022-01-05,17820.10,17944.70,17748.85,17925.25,251460048
2474,2022-01-06,17768.50,17797.95,17655.55,17745.90,236454816
2475,2022-01-07,17797.60,17905.00,17704.55,17812.70,239338016
2476,2022-01-10,17913.30,18017.45,17879.15,18003.30,232418080
2477,2022-01-11,17997.75,18081.25,17964.40,18055.75,220238784
2478,2022-01-12,18170.40,18227.95,18128.80,18212.35,244974288
2479,2022-01-13,18257.00,18272.25,18163.80,18257.80,303700544
2480,2022-01-14,18185.00,18286.95,18119.65,18255.75,229451616
2481,2022-01-17,18235.65,18321.55,18228.75,18308.10,266702912
2482,2022-01-18,18337.20,18350.95,18085.90,18113.05,227507328
2483,2022-01-19,18129.20,18129.20,17884.90,17938.40,276662656
2484,2022-01-20,17921.00,17943.70,17648.45,17757.00,258094256
2485,2022-01-21,17613.70,17707.60,17485.85,17617.15,277645376
2486,2022-01-24,17575.15,17599.40,16997.85,17149.10,323847392
2487,2022-01-25,17001.55,17309.15,16836.80,17277.95,326515872
2488,2022-01-27,17062.00,17182.50,16866.75,17110.15,395596576
2489,2022-01-28,17208.30,17373.50,17077.10,17101.95,355284288
2490,2022-01-31,17301.05,17410.00,17264.15,17339.85,321660352
2491,2022-02-01,17529.45,17622.40,17244.55,17576.85,386391488
2492,2022-02-02,17706.20,17794.60,17674.80,17780.00,271205920
2493,2022-02-03,17767.75,17781.15,17511.15,17560.20,226614976
2494,2022-02-04,17590.20,17617.80,17462.55,17516.30,261434160
2495,2022-02-07,17456.30,17536.75,17119.40,17213.60,265037936
2496,2022-02-08,17279.85,17306.45,17043.65,17266.75,268526208
2497,2022-02-09,17370.10,17477.15,17339.00,17463.80,236350528
2498,2022-02-10,17554.10,17639.45,17427.15,17605.85,273606432
2499,2022-02-11,17451.00,17454.75,17303.00,17374.75,253141664
2500,2022-02-14,17076.15,17099.50,16809.65,16842.80,305510752
2501,2022-02-15,16933.25,17375.00,16839.25,17352.45,298658144
2502,2022-02-16,17408.45,17490.60,17257.70,17322.20,244549216
2503,2022-02-17,17396.55,17442.90,17235.85,17304.60,232136128
2504,2022-02-18,17236.05,17380.80,17219.20,17276.30,189620896
2505,2022-02-21,17192.25,17351.05,17070.70,17206.65,215183296
2506,2022-02-22,16847.95,17148.55,16843.80,17092.20,300132000
2507,2022-02-23,17194.50,17220.70,17027.85,17063.25,200229632
2508,2022-02-24,16548.90,16705.25,16203.25,16247.95,457967872
2509,2022-02-25,16515.65,16748.80,16478.30,16658.40,329780736
2510,2022-02-28,16481.60,16815.90,16356.30,16793.90,404214688
2511,2022-03-02,16593.10,16678.50,16478.65,16605.95,517723552
2512,2022-03-03,16723.20,16768.95,16442.95,16498.05,442068256
2513,2022-03-04,16339.45,16456.00,16133.80,16245.35,456143040
2514,2022-03-07,15867.95,15944.60,15711.45,15863.15,585403648
2515,2022-03-08,15747.75,16028.75,15671.45,16013.45,543600640
2516,2022-03-09,16078.00,16418.05,15990.00,16345.35,462231424
2517,2022-03-10,16757.10,16757.30,16447.90,16594.90,486445472
2518,2022-03-11,16528.80,16694.40,16470.90,16630.45,343717056
2519,2022-03-14,16633.70,16887.95,16606.50,16871.30,314669696
2520,2022-03-15,16900.65,16927.75,16555.00,16663.00,381631904
2521,2022-03-16,16876.65,16987.90,16837.85,16975.35,259973392
2522,2022-03-17,17202.90,17344.60,17175.75,17287.05,448335264
2523,2022-03-21,17329.50,17353.35,17096.40,17117.60,285451232
2524,2022-03-22,17120.40,17334.40,17006.30,17315.50,338263488
2525,2022-03-23,17405.05,17442.40,17199.60,17245.65,292120352
2526,2022-03-24,17094.95,17291.75,17091.15,17222.75,290280128
2527,2022-03-25,17289.00,17294.90,17076.55,17153.00,237115744
2528,2022-03-28,17181.85,17235.10,17003.90,17222.00,253240832
2529,2022-03-29,17297.20,17343.65,17235.70,17325.30,235149616
2530,2022-03-30,17468.15,17522.50,17387.20,17498.25,505031840
2531,2022-03-31,17519.20,17559.80,17435.20,17464.75,281111680
2532,2022-04-01,17436.90,17703.70,17422.70,17670.45,291773440
2533,2022-04-04,17809.10,18114.65,17791.40,18053.40,345526496
2534,2022-04-05,18080.60,18095.45,17921.55,17957.40,283453600
2535,2022-04-06,17842.75,17901.00,17779.85,17807.65,328824416
2536,2022-04-07,17723.30,17787.50,17623.70,17639.55,308840224
2537,2022-04-08,17698.15,17842.75,17600.55,17784.35,274447424
2538,2022-04-11,17740.90,17779.05,17650.95,17674.95,251701840
2539,2022-04-12,17584.85,17595.30,17442.35,17530.30,266029056
2540,2022-04-13,17599.90,17663.65,17457.40,17475.65,245061936
2541,2022-04-18,17183.45,17237.75,17067.85,17173.65,376130240
2542,2022-04-19,17258.95,17275.65,16824.70,16958.65,401399552
2543,2022-04-20,17045.25,17186.90,16978.95,17136.55,286069728
2544,2022-04-21,17234.60,17414.70,17215.50,17392.60,285200032
2545,2022-04-22,17242.75,17315.30,17149.20,17171.95,262739744
2546,2022-04-25,17009.05,17054.30,16888.70,16953.95,275685920
2547,2022-04-26,17121.30,17223.85,17064.45,17200.80,261065760
2548,2022-04-27,17073.35,17110.70,16958.45,17038.40,265140480
2549,2022-04-28,17189.50,17322.50,17071.05,17245.05,312914432
2550,2022-04-29,17329.25,17377.65,17053.25,17102.55,336243648
2551,2022-05-02,16924.45,17092.25,16917.25,17069.10,278155520
2552,2022-05-04,17096.60,17132.85,16623.95,16677.60,310632800
2553,2022-05-05,16854.75,16945.70,16651.85,16682.65,265793408
2554,2022-05-06,16415.55,16484.20,16340.90,16411.25,300527712
2555,2022-05-09,16227.70,16403.70,16142.10,16301.85,288402944
2556,2022-05-10,16248.90,16404.55,16197.30,16240.05,283061184
2557,2022-05-11,16270.05,16318.75,15992.60,16167.10,284294432
2558,2022-05-12,16021.10,16041.95,15735.75,15808.00,314921664
2559,2022-05-13,15977.00,16083.60,15740.85,15782.15,369135552
2560,2022-05-16,15845.10,15977.95,15739.65,15842.30,217646560
2561,2022-05-17,15912.60,16284.25,15900.80,16259.30,295687776
2562,2022-05-18,16318.15,16399.80,16211.20,16240.30,290441120
2563,2022-05-19,15917.40,15984.75,15775.20,15809.40,313876096
2564,2022-05-20,16043.80,16283.05,16003.85,16266.15,252402016
2565,2022-05-23,16290.95,16414.70,16185.75,16214.70,293829856
2566,2022-05-24,16225.55,16262.80,16078.60,16125.15,249778304
2567,2022-05-25,16196.35,16223.35,16006.95,16025.80,243342352
2568,2022-05-26,16105.00,16204.45,15903.70,16170.15,314305728
2569,2022-05-27,16296.60,16370.60,16221.95,16352.45,274064960
2570,2022-05-30,16527.90,16695.50,16506.15,16661.40,251400752
2571,2022-05-31,16578.45,16690.75,16521.90,16584.55,651613632
